2025-06-16 11:07:45 +05 СООБЩЕНИЕ:  система БД была выключена: 2025-06-16 09:55:50 +05
2025-06-16 11:12:45 +05 СООБЩЕНИЕ:  начата контрольная точка: time
2025-06-16 11:12:45 +05 СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 3 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.006 сек., синхр.=0.004 сек., всего=0.030 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.003 сек., средняя=0.002 сек.; расстояние=0 kB, ожидалось=0 kB; lsn=0/1A7CC20, lsn redo=0/1A7CBC8
2025-06-16 12:59:37 +05 РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2025-06-16 12:59:37 +05 РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2025-06-16 12:59:37 +05 РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2025-06-16 12:59:39 +05 ОШИБКА:  выполнение оператора отменено по запросу пользователя
2025-06-16 12:59:39 +05 СООБЩЕНИЕ:  выключение
2025-06-16 12:59:39 +05 СООБЩЕНИЕ:  начата контрольная точка: shutdown immediate
2025-06-16 12:59:39 +05 СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 0 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.004 сек., синхр.=0.001 сек., всего=0.016 сек.; синхронизировано_файлов=0, самая_долгая_синхр.=0.000 сек., средняя=0.000 сек.; расстояние=0 kB, ожидалось=0 kB; lsn=0/1A7CCD0, lsn redo=0/1A7CCD0
