2025-06-12 18:17:58 +05 СООБЩЕНИЕ:  система БД была выключена: 2025-06-12 17:17:53 +05
2025-06-12 18:22:58 +05 СООБЩЕНИЕ:  начата контрольная точка: time
2025-06-12 18:22:58 +05 СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 3 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.003 сек., синхр.=0.004 сек., всего=0.020 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.002 сек., средняя=0.002 сек.; расстояние=0 kB, ожидалось=0 kB; lsn=0/1A5B5B8, lsn redo=0/1A5B560
2025-06-12 18:55:49 +05 СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2025-06-12 18:55:52 +05 СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2025-06-12 18:55:57 +05 СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2025-06-12 18:57:18 +05 ВАЖНО:  отмена проверки подлинности из-за тайм-аута
2025-06-12 19:15:45 +05 СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2025-06-12 19:16:34 +05 СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2025-06-12 19:16:39 +05 СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2025-06-12 19:18:08 +05 ВАЖНО:  отмена проверки подлинности из-за тайм-аута
2025-06-12 19:20:59 +05 СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2025-06-12 19:28:45 +05 ВАЖНО:  отмена проверки подлинности из-за тайм-аута
2025-06-12 19:36:07 +05 СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2025-06-12 19:47:58 +05 СООБЩЕНИЕ:  начата контрольная точка: time
2025-06-12 19:47:58 +05 СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.116 сек., синхр.=0.004 сек., всего=0.139 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.003 сек., средняя=0.002 сек.; расстояние=2 kB, ожидалось=2 kB; lsn=0/1A5C1A0, lsn redo=0/1A5C148
2025-06-12 19:48:14 +05 РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2025-06-12 19:55:21 +05 ОШИБКА:  выполнение оператора отменено по запросу пользователя
2025-06-12 19:55:21 +05 СООБЩЕНИЕ:  выключение
2025-06-12 19:55:21 +05 СООБЩЕНИЕ:  начата контрольная точка: shutdown immediate
2025-06-12 19:55:21 +05 СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 0 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.001 сек., синхр.=0.001 сек., всего=0.010 сек.; синхронизировано_файлов=0, самая_долгая_синхр.=0.000 сек., средняя=0.000 сек.; расстояние=0 kB, ожидалось=2 kB; lsn=0/1A5C250, lsn redo=0/1A5C250
