2025-07-23 15:34:54 +05 СООБЩЕНИЕ:  работа системы БД была прервана; последний момент работы: 2025-07-23 15:19:47 +05
2025-07-23 15:34:55 +05 СООБЩЕНИЕ:  система БД была остановлена нештатно; производится автоматическое восстановление
2025-07-23 15:34:55 +05 СООБЩЕНИЕ:  запись REDO начинается со смещения 0/1AF4520
2025-07-23 15:34:55 +05 СООБЩЕНИЕ:  неверная длина записи в позиции 0/1AF4628: ожидалось минимум 24, получено 0
2025-07-23 15:34:55 +05 СООБЩЕНИЕ:  записи REDO обработаны до смещения 0/1AF45F0, нагрузка системы: CPU: пользов.: 0.00 с, система: 0.00 с, прошло: 0.00 с
2025-07-23 15:34:55 +05 СООБЩЕНИЕ:  начата контрольная точка: end-of-recovery immediate wait
2025-07-23 15:34:55 +05 СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 3 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.003 сек., синхр.=0.003 сек., всего=0.014 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.002 сек., средняя=0.002 сек.; расстояние=0 kB, ожидалось=0 kB; lsn=0/1AF4628, lsn redo=0/1AF4628
2025-07-23 16:32:13 +05 ОШИБКА:  выполнение оператора отменено по запросу пользователя
2025-07-23 16:32:13 +05 ОШИБКА:  выполнение оператора отменено по запросу пользователя
2025-07-23 16:32:13 +05 СООБЩЕНИЕ:  выключение
2025-07-23 16:32:13 +05 СООБЩЕНИЕ:  начата контрольная точка: shutdown immediate
2025-07-23 16:32:13 +05 СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 0 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.002 сек., синхр.=0.001 сек., всего=0.014 сек.; синхронизировано_файлов=0, самая_долгая_синхр.=0.000 сек., средняя=0.000 сек.; расстояние=0 kB, ожидалось=0 kB; lsn=0/1AF46D8, lsn redo=0/1AF46D8
