2025-06-13 07:13:52 +05 СООБЩЕНИЕ:  система БД была выключена: 2025-06-12 22:23:52 +05
2025-06-13 07:18:52 +05 СООБЩЕНИЕ:  начата контрольная точка: time
2025-06-13 07:18:52 +05 СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 3 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.005 сек., синхр.=0.005 сек., всего=0.031 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.003 сек., средняя=0.003 сек.; расстояние=0 kB, ожидалось=0 kB; lsn=0/1A5C8F8, lsn redo=0/1A5C8A0
2025-06-13 07:32:44 +05 РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2025-06-13 07:34:26 +05 ВАЖНО:  отмена проверки подлинности из-за тайм-аута
2025-06-13 07:36:51 +05 СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2025-06-13 07:40:47 +05 РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2025-06-13 07:41:57 +05 ВАЖНО:  отмена проверки подлинности из-за тайм-аута
2025-06-13 07:44:01 +05 СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2025-06-13 07:44:06 +05 СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2025-06-13 08:58:01 +05 ОШИБКА:  выполнение оператора отменено по запросу пользователя
2025-06-13 08:58:01 +05 СООБЩЕНИЕ:  выключение
2025-06-13 08:58:01 +05 СООБЩЕНИЕ:  начата контрольная точка: shutdown immediate
2025-06-13 08:58:01 +05 СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 1 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.005 сек., синхр.=0.002 сек., всего=0.021 сек.; синхронизировано_файлов=1, самая_долгая_синхр.=0.002 сек., средняя=0.002 сек.; расстояние=0 kB, ожидалось=0 kB; lsn=0/1A5C9A8, lsn redo=0/1A5C9A8
